PN;Assignee Name;Micron;IBM;Samsung;Toshiba;mean_cumulative_incl_unigram_red_linkage;mean_cumulative_incl_unigram_compl_linkage;mean_cumulative_incl_bigram_red_linkage;mean_cumulative_incl_bigram_compl_linkage;mean_preclusive_incl_unigram_red_linkage;mean_preclusive_incl_unigram_compl_linkage;mean_preclusive_incl_bigram_red_linkage;mean_preclusive_incl_bigram_compl_linkage;filing_year;grant_year
6027970;Micron Technology;1;0;0;0;0,208646617;0,374245473;0,024159664;0,033276812;5,720624425;3,210233484;156,957577;332,0383736;1996;2000
6027984;Micron Technology;1;0;0;0;0,228658537;0,351708074;0,044642857;0,064171123;3,620996733;2,028773329;39,3750001;33,07916697;1997;2000
6027990;Micron Technology;1;0;0;0;0,95;0,985754986;0,285714286;0,311881188;3,264879565;2,63054414;37,33333303;31,24733065;1998;2000
6028002;Micron Technology;1;0;0;0;0;0;0;0;5,31780137;3,932809639;104,2999999;278,4841158;1996;2000
6028763;Micron Technology;1;0;0;0;0,31372549;0,557823129;0,06060606;0,081395349;302;1153;504;1424;1998;2000
6030847;Micron Technology;1;0;0;0;0,29178744;0,366255144;0,057276995;0,063979328;3,705555556;2,791646996;40,23333345;63,52630493;1995;2000
6030857;Micron Technology;1;0;0;0;0;0;0;0;4,888888878;2,800000001;26,00000031;27,14285734;1996;2000
6031263;Micron Technology;1;0;0;0;0,300716846;0,547383396;0,028930747;0,038761707;8,21065945;4,531961608;184,162037;456,4994029;1997;2000
6031287;Micron Technology;1;0;0;0;0,167385534;0,325626913;0,008497658;0,011826221;5,986720289;2,764783175;229,600815;597,3359196;1997;2000
6033992;Micron Technology;1;0;0;0;0,848837209;0,958128079;0,270833334;0,302469136;8,599999983;4,720930235;504;1424;1997;2000
6037218;Micron Technology;1;0;0;0;0,266317486;0,448265629;0,027048319;0,025936599;4,332978149;3,256427456;51,85185229;70,1616724;1997;2000
6037248;Micron Technology;1;0;0;0;0,341025641;0,437647059;0,050555556;0,052247191;9,882208886;26,76976037;173,3174602;460,0218669;1997;2000
6037261;Micron Technology;1;0;0;0;0,542553191;0,750582751;0,110169492;0,125514403;7,055086584;3,228250506;34,41666627;37,80000004;1998;2000
6039577;Micron Technology;1;0;0;0;0,456521739;0,579136691;0,130769231;0,157079646;302;1153;504;1424;1998;2000
6039851;Micron Technology;1;0;0;0;0;0;0;0;7,826051611;10,48328994;200,9532212;478,3896041;1998;2000
6040205;Micron Technology;1;0;0;0;0,518867925;0,665611815;0,059659091;0,060311284;26,50000004;6,405405424;504;1424;1998;2000
6040208;Micron Technology;1;0;0;0;0;0;0;0;5,014622557;3,200625364;135,2307696;308,7102555;1997;2000
6040209;Micron Technology;1;0;0;0;0;0;0;0;2,681481482;1,856397434;24,17142808;14,23558897;1997;2000
6040221;Micron Technology;1;0;0;0;0,394871795;0,68515625;0,046808511;0,05;4,875000003;3,968992248;504;1424;1997;2000
6040239;Micron Technology;1;0;0;0;0,310144928;0,476911544;0,032978723;0,044413408;8,311783639;4,629736;261,2371792;700,9404284;1997;2000
6040245;Micron Technology;1;0;0;0;0,115526316;0,26755814;0,001842105;0,003197279;4,514437647;3,783123621;173,4999994;414,1875008;1999;2000
6043107;Micron Technology;1;0;0;0;0,392156863;0,49127907;0,075555556;0,103401361;5,347272727;3,33419644;29,99999977;22,86666672;1998;2000
6043117;Micron Technology;1;0;0;0;0,396739131;0,58056266;0,057377049;0,064618644;302;1153;504;1424;1999;2000
6043119;Micron Technology;1;0;0;0;0,212121212;0,47167756;0,00990099;0,018927445;7,521130948;4,421304155;355,6388891;963,2020832;1997;2000
6043134;Micron Technology;1;0;0;0;0,25;0,503597122;0,027777778;0,033898305;6,905396825;3,032480637;316,7999999;895,699997;1998;2000
6043151;Micron Technology;1;0;0;0;0,395348837;0,494693877;0,079365079;0,103603604;5,402564095;3,674562225;199,4999997;502,4166667;1998;2000
6043507;Micron Technology;1;0;0;0;0,586956522;0,903333333;0,126582278;0,208530806;302;1153;504;1424;1998;2000
6044851;Micron Technology;1;0;0;0;0,217133621;0,311280685;0,021651965;0,025446614;5,517006915;5,104058693;161,2599999;383,9175205;1998;2000
6046094;Micron Technology;1;0;0;0;0,146341463;0,34109817;0;0;9,410700582;11,58363386;463,0632184;1303,718075;1998;2000
6046098;Micron Technology;1;0;0;0;0,456140351;0,777493606;0,068965517;0,108695652;5,686840456;5,407288931;82,47916626;177,8095265;1998;2000
6046111;Micron Technology;1;0;0;0;0,191689467;0,365616487;0,01202046;0,01391097;8,119731156;5,602395015;182,6538473;384,9822326;1998;2000
6048656;Micron Technology;1;0;0;0;0,303571429;0,451713396;0,010752688;0,011904762;10,57812185;20,8959855;289,9750005;754,268701;1999;2000
6048744;Micron Technology;1;0;0;0;0,261648746;0,324606215;0,03784219;0,042831948;10,74496325;9,872280421;152,8333338;408,0625006;1997;2000
6048750;Micron Technology;1;0;0;0;0,330479452;0,42114949;0,042361111;0,046875;7,656251506;6,241361943;254,2500005;620,9928229;1997;2000
6048753;Micron Technology;1;0;0;0;0,256896552;0,409081174;0,035013263;0,037832512;19,62027684;52,75770453;303,0709881;823,0765989;1998;2000
6048755;Micron Technology;1;0;0;0;0,299631449;0,463323398;0,034133791;0,05;4,40113627;5,58623252;200,6250504;533,4275944;1998;2000
6048763;Micron Technology;1;0;0;0;0,266666667;0,423030303;0,032110092;0,032410256;5,191893416;4,084525615;287,5549783;802,6330704;1997;2000
