Stopwords from TechNet: Technology Semantic Network Based on Patent Data. Expert Systems with Applications. https://doi.org/10.1016/j.eswa.2019.112995.
able
above-mentioned
already
always
and/or
anything
anywhere
better
disclosure
easily
eg
either
elsewhere
enough
especially
et al
etc
eventually
finally
furthermore
he/she
hence
him/her
his/her
instead
may
meanwhile
might
moreover
must
often
one
one another
otherwise
possibly
rather
remarkably
significantly
simply
sometimes
straight forward
substantially
therebetween
therefor
therefrom
therein
thereinto
thereon
therethrough
therewith
towards
typical
via
vice versa
whatever
whereat
wherever
whether
whose
within
without
wrt
yet
able
above-mentioned
accordingly
across
along
already
alternatively
always
among
and/or
anything
anywhere
better
disclosure
due
easily
easy
eg
either
elsewhere
enough
especially
essentially
et al
etc
eventually
excellent
finally
furthermore
good
hence
he/she
him/her
his/her
ie
ii
iii
instead
later
like
little
many
may
meanwhile
might
moreover
much
must
never
often
others
otherwise
overall
rather
remarkably
significantly
simply
sometimes
specifically
straight forward
substantially
thereafter
therebetween
therefor
therefrom
therein
thereinto
thereon
therethrough
therewith
together
toward
towards
typical
typically
upon
via
vice versa
whatever
whereas
whereat
wherever
whether
whose
within
without
yet
vice
versa
et
al
straight
forward
him
her
one
another
other
above
mentioned
